date,home_team,away_team,home_score,away_score,
24/06/2018,Japão,Senegal,2,2,
23/06/2018,Bélgica,Tunísia,5,2,
23/06/2018,Coreia do Sul,México,1,2,
22/06/2018,Brasil,Costa Rica,2,0,
22/06/2018,Sérvia,Suíça,1,2,
21/06/2018,Dinamarca,Austrália,1,1,
21/06/2018,Argentina,Croácia,0,3,
20/06/2018,Portugal,Marrocos,1,0,
20/06/2018,Uruguai,Arábia Saudita,1,0,
20/06/2018,Irã,Espanha,0,1,
19/06/2018,Polônia,Senegal,1,2,
18/06/2018,Tunísia,Inglaterra,1,2,
17/06/2018,Costa Rica,Sérvia,0,1,
17/06/2018,Alemanha,México,0,1,
17/06/2018,Brasil,Suíça,1,1,
16/06/2018,França,Austrália,2,1,
15/06/2018,Marrocos,Irã,0,1,
15/06/2018,Portugal,Espanha,3,3,
11/06/2018,Coreia do Sul,Senegal,0,2,
11/06/2018,Bélgica,Costa Rica,4,1,
09/06/2018,Dinamarca,México,2,0,
09/06/2018,Tunísia,Espanha,0,1,
09/06/2018,França,Estados Unidos,1,1,
08/06/2018,Alemanha,Arábia Saudita,2,1,
08/06/2018,Croácia,Senegal,2,1,
08/06/2018,Suíça,Japão,2,0,
07/06/2018,Inglaterra,Costa Rica,2,0,
03/06/2018,Espanha,Suíça,1,1,
03/06/2018,Croácia,Brasil,0,2,
02/06/2018,Bélgica,Portugal,0,0,
30/05/2018,Japão,Gana,0,2,
28/05/2018,Portugal,Tunísia,2,2,
28/05/2018,México,País de Gales,0,0,
27/03/2018,Bélgica,Arábia Saudita,4,0,
27/03/2018,Alemanha,Brasil,0,1,
27/03/2018,México,Croácia,0,1,
27/03/2018,Polônia,Coreia do Sul,3,2,
27/03/2018,Espanha,Argentina,6,1,
27/03/2018,Tunísia,Costa Rica,1,0,
26/03/2018,Portugal,Holanda,0,3,
26/03/2018,País de Gales,Uruguai,0,1,
23/03/2018,Alemanha,Espanha,1,1,
23/03/2018,Holanda,Inglaterra,0,1,
23/03/2018,Sérvia,Marrocos,1,2,
23/03/2018,Tunísia,Irã,1,0,
